"Tag","TH","Iter","Rounds","Exact","Parallel","BestCost","TimeSeconds","LogFile"
"quick","200","500","1","0","0","-1","319.8","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH200_iter500_rounds1_exact0_parallel0.log"
"quick","600","500","1","0","0","-1","36.9","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH600_iter500_rounds1_exact0_parallel0.log"
"quick","1200","500","1","0","0","-1","315.8","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH1200_iter500_rounds1_exact0_parallel0.log"
"quick","2000","500","1","0","0","-1","113.2","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH2000_iter500_rounds1_exact0_parallel0.log"
"quick","4000","500","1","0","0","-1","96.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH4000_iter500_rounds1_exact0_parallel0.log"
"quick","8000","500","1","0","0","-1","146.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002840\quick_TH8000_iter500_rounds1_exact0_parallel0.log"
