"Tag","TH","Iter","Rounds","Exact","Parallel","BestCost","TimeSeconds","LogFile"
"quick","200","20000","2","0","0","-1","24.2","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH200_iter20000_rounds2_exact0_parallel0.log"
"quick","400","20000","2","0","0","-1","632.1","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH400_iter20000_rounds2_exact0_parallel0.log"
"quick","600","20000","2","0","0","-1","802.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH600_iter20000_rounds2_exact0_parallel0.log"
"quick","800","20000","2","0","0","-1","37","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH800_iter20000_rounds2_exact0_parallel0.log"
"quick","1200","20000","2","0","0","-1","315.8","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH1200_iter20000_rounds2_exact0_parallel0.log"
"quick","2000","20000","2","0","0","-1","113.1","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH2000_iter20000_rounds2_exact0_parallel0.log"
"quick","3000","20000","2","0","0","-1","96.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH3000_iter20000_rounds2_exact0_parallel0.log"
"quick","5000","20000","2","0","0","-1","146.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_000941\quick_TH5000_iter20000_rounds2_exact0_parallel0.log"
