"Tag","TH","Iter","Rounds","Exact","Parallel","BestCost","TimeSeconds","LogFile"
"exact","200","1000","1","1","1","39368","224.2","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_010950\exact_TH200_iter1000_rounds1_exact1_parallel1.log"
"exact","400","1000","1","1","1","43445","224.3","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_010950\exact_TH400_iter1000_rounds1_exact1_parallel1.log"
"exact","600","1000","1","1","1","46950","224.2","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_010950\exact_TH600_iter1000_rounds1_exact1_parallel1.log"
"exact","800","1000","1","1","1","44694","224.2","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_010950\exact_TH800_iter1000_rounds1_exact1_parallel1.log"
"exact","1200","1000","1","1","1","-1","17.4","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_010950\exact_TH1200_iter1000_rounds1_exact1_parallel1.log"
