"Tag","TH","Iter","Rounds","Exact","Parallel","BestCost","TimeSeconds","LogFile"
"quick","200","2000","1","0","0","-1","770","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH200_iter2000_rounds1_exact0_parallel0.log"
"quick","600","2000","1","0","0","-1","36.9","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH600_iter2000_rounds1_exact0_parallel0.log"
"quick","1200","2000","1","0","0","-1","315.8","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH1200_iter2000_rounds1_exact0_parallel0.log"
"quick","2000","2000","1","0","0","-1","113.1","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH2000_iter2000_rounds1_exact0_parallel0.log"
"quick","4000","2000","1","0","0","-1","96.8","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH4000_iter2000_rounds1_exact0_parallel0.log"
"quick","8000","2000","1","0","0","-1","146.7","C:\Users\Stanislav Ilchev\Desktop\cover\tuning_logs\20251221_002110\quick_TH8000_iter2000_rounds1_exact0_parallel0.log"
